win,uri,r_box,xp,tim,sp
0,1733732,4,0.598726742,-0.655386109,1.791759469
0,1733732,6,-0.824661361,0.671435164,1.386294361
0,1733732,2,1.51376195,0.946624588,2.079441542
0,1733732,5,0.395385584,0.592593642,1.252762968
0,1733732,1,-1.061892711,-1.689486254,1.386294361
1,1733492,3,0.400123134,0.558322269,0.693147181
0,1733492,1,0.95413978,-1.230115417,3.044522438
0,1733492,4,-0.030778703,-0.331746754,1.945910149
0,1733492,5,0.83102497,0.00557771,2.079441542
0,1733492,6,-0.400123134,1.631906737,1.011600912
0,1733492,2,-1.754386048,-0.633944545,2.708050201
1,1733710,5,-0.964167985,-0.802698823,2.397895273
0,1733710,1,0.512855311,-0.62950344,1.791759469
0,1733710,4,0.537472366,1.157178461,1.098612289
0,1733710,2,1.472920454,-0.483972156,1.609437912
0,1733710,6,-1.03801915,-0.644726496,1.704748092
0,1733710,3,-0.521060996,1.403722454,1.252762968
1,1733714,3,0.190005685,0.314144089,1.791759469
0,1733714,4,-0.63911003,-0.532934549,1.791759469
0,1733714,5,0.328191637,1.008343791,1.504077397
0,1733714,6,-0.604563542,0.325374031,0.587786665
0,1733714,1,-1.019121399,-1.756033096,2.197224577
0,1733714,2,1.744597649,0.641105734,3.044522438
1,1733720,1,1.216784026,0.042297017,1.178654996
0,1733720,2,0.263222667,0.896183389,1.252762968
0,1733720,3,-1.13732058,-0.412404944,1.609437912
0,1733720,4,0.888997309,0.724839542,1.791759469
0,1733720,6,-1.167119372,-1.791047894,2.397895273
0,1733720,5,-0.06456405,0.54013289,1.609437912
1,1733779,4,-0.116337509,1.089421697,1.386294361
1,1733779,6,-0.31577324,0.393987445,1.011600912
0,1733779,3,-0.481969682,0.259527785,1.704748092
0,1733779,5,-0.481969682,-0.385153985,1.609437912
0,1733779,2,-0.614926835,-1.801488624,1.945910149
0,1733779,1,2.010976948,0.443705682,1.945910149
1,1733780,1,0.144875139,-0.522869077,1.386294361
0,1733780,2,0.820959122,0.836921352,1.252762968
0,1733780,5,-0.434625418,-0.06798873,2.079441542
0,1733780,4,-1.448751392,1.040447106,1.011600912
0,1733780,6,1.352167966,0.384232656,1.609437912
0,1733780,3,-0.434625418,-1.670743307,2.197224577
1,1733784,6,-0.049746772,1.384609142,1.504077397
0,1733784,4,0.384406871,0.718173026,0.810930216
0,1733784,1,-0.348227401,-0.251774853,1.504077397
0,1733784,2,-1.05372707,-0.642979086,1.791759469
0,1733784,3,-0.700977235,0.220790784,1.791759469
0,1733784,5,1.768271606,-1.428819014,2.197224577
1,1733786,5,-1.158333306,-0.097384467,1.011600912
0,1733786,6,-0.804943484,-0.263168617,1.609437912
0,1733786,1,1.02090393,-0.826625051,1.504077397
0,1733786,4,-0.628248573,1.962366891,1.32175584
0,1733786,2,0.37302259,-0.179499507,1.791759469
0,1733786,3,1.197598841,-0.595689249,2.197224577
1,1733789,2,-0.753883986,-0.458602934,1.704748092
0,1733789,3,-0.893779984,0.94806862,1.252762968
0,1733789,6,-0.310879994,0.112307856,1.504077397
0,1733789,5,1.018131982,0.637396333,1.252762968
0,1733789,4,1.484451973,0.543211501,1.32175584
0,1733789,1,-0.54403999,-1.782381375,2.197224577
1,1733124,1,-0.741779133,0.802141728,1.252762968
0,1733124,2,0.272298669,0.450594867,0.693147181
0,1733124,4,-0.854454444,-0.567262269,2.397895273
0,1733124,5,1.568064749,0.354321245,2.197224577
0,1733124,6,-0.882623272,-1.777994656,1.791759469
0,1733124,3,0.638493431,0.738199086,2.079441542
1,1733129,5,1.93837719,1.460730461,0.405465108
0,1733129,3,-0.272699453,0.349920141,2.197224577
0,1733129,2,-0.53802865,-1.14624803,3.258096538
0,1733129,4,-0.582250182,-0.710122591,1.704748092
0,1733129,6,-0.714914781,0.70279332,1.791759469
0,1733129,1,0.169515876,-0.657073301,2.197224577
1,1733067,2,1.326525868,1.216500319,0.916290732
0,1733067,3,0.195488023,0.740736417,1.32175584
0,1733067,4,-1.270672147,0.505586389,1.504077397
0,1733067,5,0.363049185,-0.168657693,2.833213344
0,1733067,1,-1.103110985,-1.314079727,1.504077397
0,1733067,6,0.488720057,-0.980085705,1.945910149
1,1733069,1,-0.631723672,-0.550454981,1.791759469
0,1733069,5,-0.198541726,0.676103949,1.386294361
0,1733069,3,1.967368008,1.712477366,1.252762968
0,1733069,6,-0.469280442,-0.924450793,1.609437912
0,1733069,2,-0.685871416,-0.589678405,1.32175584
0,1733069,4,0.018049248,-0.323997137,1.791759469
1,1733330,5,-1.042032557,0.260211782,1.178654996
0,1733330,6,-0.778782227,0.907698157,1.098612289
0,1733330,3,0.076781346,-1.595545825,2.197224577
